iso,Country,Time,Year,q,QCNR
IND,India,2020.125,2020,1,3.784610133082005e-4
IND,India,2020.375,2020,2,2.3601996618808122e-4
IND,India,2020.625,2020,3,2.6020426981966183e-4
IND,India,2020.875,2020,4,2.9489339313516766e-4
IND,India,2021.125,2021,1,3.715663145354399e-4
IND,India,2021.375,2021,2,2.6155855552351706e-4
IND,India,2021.625,2021,3,3.975634120157592e-4
IND,India,2021.875,2021,4,3.5019315013752654e-4
IND,India,2022.125,2022,1,3.788803786764958e-4
IND,India,2022.375,2022,2,4.3909887881828823e-4
IND,India,2022.625,2022,3,3.865570424532203e-4
