Year,N,Index,Tag,m,error,eps
2014,1295600768,CNR,Pub,0.0011507622311905706,0.1,1.1507622311905706e-4
2014,1295600768,CNR,Pri,9.155487740810919e-5,0.1,9.15548774081092e-6
2015,1310152392,CNR,Pub,0.0011262320955688827,0.1,1.1262320955688828e-4
2015,1310152392,CNR,Pri,1.4624277848377732e-4,0.1,1.4624277848377733e-5
2016,1324517250,CNR,Pub,0.001081157634376176,0.1,1.0811576343761761e-4
2016,1324517250,CNR,Pri,2.505547310158138e-4,0.1,2.5055473101581382e-5
2017,1338676779,CNR,Pub,9.736010574443684e-4,0.1,9.736010574443685e-5
2017,1338676779,CNR,Pri,2.587307689374415e-4,0.1,2.587307689374415e-5
2018,1352642283,CNR,Pub,0.0010560724575310744,0.1,1.0560724575310745e-4
2018,1352642283,CNR,Pri,3.550057144204658e-4,0.1,3.5500571442046584e-5
2019,1366417756,CNR,Pub,0.0011694559920355358,0.1,1.1694559920355358e-4
2019,1366417756,CNR,Pri,4.130197848673441e-4,0.1,4.130197848673442e-5
